Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
6,45,28,9,25,16,19,6,6,0,1,2,3,2.3,64,35,19.2,12.9,8.4,7.5,5.5,10.5,20,28.6
6,43,27,9,21,18,19,7,4,1,1,1,4,2,64.6,34,19.8,13,8.3,7.7,5.9,11.7,21.5,31
6,44,27,8,23,16,19,5,5,1,0,3,3,2.6,59.4,30.8,18.1,12.4,7.8,7.2,5.4,9.9,20.5,28.6
6,43,26,9,23,16,19,5,3,1,1,3,5,2.2,59.3,29.5,19,12.4,8.3,7.4,5.4,10.9,19.8,30.5
7,52,29,10,26,18,20,6,13,2,2,2,4,2.1,67,37.7,19.2,12.9,8.4,7.5,5,11,20.6,31.4
6,44,27,9,23,17,21,6,7,1,0,1,4,2.2,59.8,30.5,20.3,13,8.8,7.1,4.5,11.1,20.7,30.7
6,44,27,8,21,16,20,5,3,1,1,2,4,2,66.6,35.3,20.4,13,8.5,7.7,5.9,12.8,20.5,32.5
6,42,27,9,22,15,20,5,5,1,1,2,3,2.3,66.5,36.2,19,13.4,8.7,7.4,5.6,12,20.4,30.3
6,42,27,10,21,17,18,5,4,1,1,2,3,2.2,64.5,36.1,19.2,13.1,8.3,7.4,5.1,11.1,20.1,27
7,55,27,11,26,19,19,6,13,2,2,2,6,2.2,57.7,31.4,17.5,12.1,7.8,6.7,5,9.9,18.2,27.6
7,44,29,12,26,18,20,5,10,2,2,2,5,2.5,64.5,31.7,18.9,12.8,8.4,7.2,5.3,11.7,19.4,28.3
7,55,28,11,25,17,20,7,12,1,3,2,4,2.1,59.5,30.6,18.8,12,7.8,6.5,4.9,10.3,18.6,26.6
7,55,28,10,26,17,21,6,10,2,2,2,5,2,59.3,29.2,18.5,12,7.9,6.7,4.9,9.9,20.1,28.6
7,54,28,11,28,17,20,5,11,1,2,2,5,2.1,58.8,30.8,18,12,7.8,7,5.1,10,19.6,26.6
7,55,29,10,28,17,20,7,11,2,3,2,5,2.2,61.5,30.5,18.6,12.1,8,6.2,5.1,9.9,18.3,26.7
7,56,29,12,28,17,19,6,12,2,2,2,5,2.1,60.1,33.4,16.7,11.7,7.7,6.4,4.6,9.6,17.8,27.2
6,43,27,9,22,15,19,6,1,1,2,1,4,2.7,57.8,31,16.6,11.5,7.7,6.9,4.4,10.2,18.6,27
6,42,28,10,21,16,20,6,6,1,1,2,3,1.9,59.6,32.4,18,12,8.1,7,4.9,10.2,20.2,26.7
6,43,27,9,23,16,20,4,7,1,1,1,4,2,54.2,31.1,17.1,11.7,7.4,7.2,5.1,9.4,17.8,27.9
6,45,27,9,22,15,21,5,5,0,1,1,3,2.2,56.2,30,17.1,11.8,7.5,7.2,4.6,9.8,17,26.6
6,42,27,9,21,13,20,5,5,1,1,1,4,2.2,66,37,20.3,13,8.8,8,5.7,11,21.4,30.5
6,44,28,9,22,16,19,6,5,0,2,1,3,2.3,64.5,34,18.8,12.6,8.3,8.5,6,10.3,21.2,29.1
6,41,27,9,21,15,19,6,4,0,1,2,3,2.4,62.4,33.5,17.5,12.5,8.1,7.5,5.5,10.9,19.4,29.3
6,41,27,9,21,16,20,3,6,1,1,2,3,2,65.5,35.3,18.3,12.5,7.9,7.3,5.8,10.4,20.3,29.6
6,44,28,11,21,15,19,6,5,1,0,1,3,2,58.3,30.8,17.3,11.9,7.5,7.8,5.5,9.9,19.5,28.2
6,45,27,10,25,15,20,6,5,1,2,1,3,2.2,65,34.4,19.2,12.7,8.4,7.7,5.9,10.2,21.2,30.6
6,41,27,9,23,16,20,5,6,0,1,2,4,2.6,65.5,35.2,19,12.8,8.4,7.8,6,10.8,20.2,28.7
6,44,27,9,23,17,20,6,4,1,1,1,4,2.1,58.4,31.3,17.4,11.8,7.6,7.1,4.8,9.7,18.7,28.3
6,45,27,10,23,16,20,6,9,1,1,2,3,2.5,58.6,31.7,17.8,12.3,8,7.9,5.3,10.4,20.1,30.2
6,44,26,9,21,15,20,5,5,1,2,1,3,2.2,58.8,29.9,18.6,12.2,7.6,7.3,5.3,10.9,19.4,29
6,43,27,8,23,17,20,5,5,1,1,1,3,2.1,58.2,29.5,18.6,11.7,7.6,7,4.8,9.8,19,27.5
